x,y
-3.618490465935753377e+02,1.230940142995914357e+02
-2.030948833063656878e+02,-8.911641083245000061e+01
8.028318026711515643e+01,2.444229280058669644e+02
-1.128688332598153465e+02,-4.659003293680348179e+01
-3.874716778079459232e+02,1.090957650652189130e+02
5.902707429877091627e+00,-4.600714934856102900e+01
-2.707930883663412942e+02,6.573924997857704966e+01
-6.956778138623400309e+01,-5.106487594389628271e+01
6.069260778694551561e+01,2.293631640437065400e+01
-4.126646980774580697e+00,9.163718757759887978e+01
-7.632213607584117199e+01,1.855247447507135234e+02
2.794089530030857418e+02,-1.269323499458190128e+02
7.154249359518831852e+01,-3.359515176535741432e+01
-2.560194627321111511e+02,-4.234448867168743647e+01
4.712610068863205015e+01,-1.384784973660875949e+02
-3.043856332467354378e+02,-7.120846535404735000e+00
-5.722022429982825997e+01,-6.721166605458064680e+01
-2.030339644967899915e+02,9.923688189805677951e+01
-2.604292508535666428e+01,-3.446631076675566874e+01
-8.689812402417662440e+01,2.035006943717577599e+01
-1.479086900390234973e+02,-5.100024299534965166e+00
-2.509279120284787439e+02,4.105536755242091829e+01
2.852478819972563429e+02,-8.921905743081902074e+01
-8.939238671756373833e+01,1.673985937272474018e+02
-1.437060207542049284e+02,1.707723574287349493e+02
3.011814081628372151e+02,-2.862833236201663567e+01
-1.676701417601179855e+02,-4.594373592716978294e+01
-2.982153792752683330e+02,8.567020925590327352e+01
-1.024309920641280769e+02,2.923057179183328458e+01
-1.231016062490607510e+02,1.745317339586027856e+02
2.896815092694702685e+02,-2.630942352035852494e+01
-1.054516994193145365e+02,1.788839925753228215e+02
-2.187206908146490747e+01,7.545533625178208581e+01
-1.810443675526463991e+01,-1.271715371550324534e+02
-1.552701782953781162e+01,2.425699227830268967e+02
-7.500353964775099769e+01,1.432519859072911856e+02
4.142584031505861617e+02,-7.891562497560408929e+01
-2.941643528690179323e+02,6.943992734851785542e+01
-1.160724099691960873e+02,-1.091793668274955280e+02
-3.988596850174824340e+02,4.420008628329856037e+01
7.621094156789963847e+01,-1.013829281374589755e+02
-1.007237993189592515e+02,-1.151210800627897726e+02
-6.054772744597413237e+01,1.758394850911055016e+02
-4.542114278588827574e+02,1.004828977359758966e+02
1.920589932811455185e+02,-1.487073383382570171e+02
-4.182734058897651153e+02,4.981451237793665854e+01
3.612614151644809226e+02,-9.916719254590977073e+01
2.693511656317056691e+02,-9.137939654586186577e+01
7.528683030221623085e+01,6.239392058141178410e+01
-9.855800743840765676e+01,-8.531564609388273368e+01
-4.547419107179304660e+02,4.854279935958887648e+01
-2.840683384412315249e+01,-1.694734834388477296e+01
-3.781377459824799558e+01,1.256669355925707805e+02
2.739382137259497085e+01,5.812063466027308323e+01
-2.878798266186345813e+02,1.056435287649892416e+02
-3.619591889070193247e+02,1.402806150783158046e+01
4.797577597694426004e+02,-1.037162000473104655e+02
-1.541980862009928899e+02,9.435827099772268411e+01
1.219702153455698408e+02,1.439421785312681834e+02
7.171560657381178316e+01,2.145481791755196355e+01
-3.908390313395018012e+01,4.270075892045929322e+01
1.653742425194847385e+02,-2.840780841589946704e+01
4.649531779632825419e+02,-1.079128091411806309e+02
4.515725224187713707e+02,-1.353113384654021445e+02
-3.290972888484377563e+02,1.428016769934785941e+02
-3.448812900697440114e+02,8.374226988382621073e+01
-1.740604341611750101e+02,5.822305869726792338e+01
6.013158977597322519e+01,1.595154019568274180e+02
-2.957012200215319240e+02,-6.820634685096441663e-01
-2.708358916782875170e+01,1.768333892828918579e+02
7.370786435823060856e+01,7.324690696912426802e+01
-8.253998497617226349e+01,8.180639285688346263e+01
-1.844361453764895487e+02,-3.150907189159958577e+01
2.872137993157353364e+01,7.079709990468190028e+01
-2.405171628961503814e+02,1.028092396333767482e+02
4.061163423680701499e+02,-7.008073133218516659e+01
6.429711799213077938e+01,-8.460789159519598002e+01
3.668256895848253407e+01,-1.154044543472253963e+02
-1.218639795317334773e+02,3.530405116282349809e+01
-9.680615077661613554e+01,3.983823549356024785e+01
-5.757771912811472248e+01,-1.438198844294450396e+01
4.618291246611526049e+02,-5.010234539820508815e+01
-1.420523001395729352e+02,2.652221357963901482e+01
-2.999225911775410225e+01,4.021366107283110125e+01
2.430249800693333384e+02,-3.205929840582454204e+01
-1.462299149052342955e+02,-1.152010344419292664e+02
4.632494028509033228e+02,-6.558584344775688635e+01
-2.224440845540758858e+02,1.295113636772944119e+02
-1.249961337738708380e+02,-1.217330099081476646e+02
-1.839231009294087471e+01,1.212424404483872280e+02
7.127650168655743812e+01,2.396285794278001049e+02
-3.079051212747271506e+02,1.660229961659599240e+01
-1.983904581367477817e+02,-1.423912647867041414e+01
9.829048009903651462e+01,-1.248076500528816979e+02
-1.459726500978230774e+02,4.262590368696227472e+01
2.222695215542569827e+02,-7.273605833632461781e+01
3.972416678782794293e+02,-1.071387044360464245e+02
3.209309708909455594e+02,-5.260844842957667566e+01
5.013327539694796542e+01,7.755945219386944700e+01
-2.075434756795689282e+02,5.612340386863661479e+01
7.015231247893126465e+01,-1.857479000566443617e+01
7.621316444697971804e+01,-1.217239845455468839e+02
2.162566719514961733e+01,-4.414350367789931617e+00
-1.276641726195703042e+00,1.792572984533244380e+02
-3.111631295549286591e+01,-9.872717594911129879e+01
4.752791977231072451e+01,6.721936366926036044e+01
-1.540490364333748801e+02,1.964955215195483618e+02
-2.470908776671757607e+02,-4.457414628047317962e+01
4.295965095055144189e+01,-2.122344572803513074e+00
-1.365262193821783399e+02,-3.837539064487937424e+01
6.121328318341102204e+01,1.232755504320221007e+02
2.218168545046367868e+01,-1.166826714409098713e+02
1.620888064985940673e+02,-7.160430957752066661e+01
1.262516602346257741e+02,-8.823635691199564235e+01
1.262608777049408673e+02,1.054470645913347653e+02
9.992469755894404670e+01,-1.418679501433719281e+02
-7.498976506978615930e+01,1.150852416243512835e+02
1.449315141518809469e+02,-6.120607841271741023e+01
3.446069116196962909e+02,-8.618592555286403467e+01
2.023583316370010721e+02,-1.183181573328627394e+02
-3.066474797249505855e+02,7.312346052383995243e+01
-1.805225792455727785e+01,3.044786130191952722e+01
1.220539623593689669e+02,-4.333228877956967295e+01
-3.149842391479552930e+02,1.415200776316817155e+02
1.903141329803846986e+02,-1.075022651911367717e+02
3.908815591937442377e+02,-8.233755331932270849e+01
-1.353019770704666200e+02,1.860315938757318577e+02
9.484896563807963332e+01,5.533984689508940846e+01
1.211908156696533041e+02,-1.402322280930474392e+02
7.904417781503570950e+01,1.816441457754700082e+02
4.534226001344293877e+02,-5.710612951107573565e+01
-3.112403530829743090e+02,1.070426042888175004e+02
2.499056914214988865e+02,-3.163115048921493511e+01
-3.711667700910410161e+01,2.375093746303340136e+00
4.503136564539902906e+02,-7.526965302138512470e+01
1.197578360896980314e+02,-1.189208994788167644e+02
1.197012638970869602e+02,-8.068804451186576898e+01
-3.925617663363619840e+02,1.265390424772920568e+02
-5.126679768806786797e+01,1.302656572281270257e+02
8.417669670427494566e+01,1.167624970418517023e+02
-5.108014645001536458e+00,1.086172066531379556e+02
-4.183804660935578568e+02,9.014612809035122609e+01
-2.244628877883839948e+02,-1.954352018091607235e+01
-5.724887414851582434e+01,6.108933055249517707e+01
-2.773307117244701772e+02,2.206458274624601401e+01
-3.164593955190539987e+02,4.526535808077073852e+01
1.376164645467571859e+02,-6.582150433808924106e+01
2.884779914101995928e+02,-1.670263528436150864e+02
-1.805915126532234751e+02,-7.321313111681982377e+01
9.745510936780731015e+01,3.857097790637219958e+01
3.574866057376026873e+01,-9.380529911557819389e+01
-1.894216935962163859e+02,4.337766584759829414e+01
-3.936245655912281194e+01,1.602141515392932263e+02
-1.043218367439721987e+02,1.915292842008403795e+02
2.351573393980014259e+02,-1.511009512586502694e+02
3.980657386246673468e+01,-1.342288608990942294e+02
-1.219444667551783112e+02,7.434531289199870230e+01
6.599675105680569231e+01,2.513682941097064258e+02
-4.157817596105010693e+02,5.754903299653597060e+01
3.781248236266206959e+02,-5.086601915168366617e+01
-2.435230653840720549e+02,1.486056223633446827e+01
-5.322887473000463388e+01,1.604358544842069421e+02
-1.672319121955039734e+01,-7.057095677608367623e+01
-4.175732593047814589e+01,-1.167965464168166392e+02
-3.910695784083961826e+02,1.630368192910256919e+00
-8.768021432037349427e+01,1.514777259435428221e+02
1.010625286554241029e+02,1.178456429860669203e+02
2.192226587221318823e+02,-1.279602973554686969e+02
2.012064706600394857e+02,-9.995277005856061692e+01
1.291014383993135439e+01,-1.363570223083703468e+02
-8.666081673256492479e+01,-1.201921484798476314e+02
-3.288334070283049755e+02,9.169456963218834744e+01
1.169551547863134005e+02,-1.497923201561352471e+02
2.251279019748760390e+02,-8.672685643593182192e+01
